deb_ext-access                             deb_ext__access
adminPanel_extension-access                admin_panel_extension__access
ki_budget-access                           ki_budget__access
ki_expenses-access                         ki_expenses__access
ki_export-access                           ki_export__access
ki_invoice-access                          ki_invoice__access
ki_timesheet-access                        ki_timesheet__access
demo_ext-access                            demo_ext__access
core-customer-otherGroup-add               core_customer__other_group__add
core-customer-otherGroup-edit              core_customer__other_group__edit
core-customer-otherGroup-delete            core_customer__other_group__delete
core-customer-otherGroup-assign            core_customer__other_group__assign
core-customer-otherGroup-unassign          core_customer__other_group__unassign
core-project-otherGroup-add                core_project__other_group__add
core-project-otherGroup-edit               core_project__other_group__edit
core-project-otherGroup-delete             core_project__other_group__delete
core-project-otherGroup-assign             core_project__other_group__assign
core-project-otherGroup-unassign           core_project__other_group__unassign
core-activity-otherGroup-add               core_activity__other_group__add
core-activity-otherGroup-edit              core_activity__other_group__edit
core-activity-otherGroup-delete            core_activity__other_group__delete
core-activity-otherGroup-assign            core_activity__other_group__assign
core-activity-otherGroup-unassign          core_activity__other_group__unassign
core-user-otherGroup-add                   core_user__other_group__add
core-user-otherGroup-edit                  core_user__other_group__edit
core-user-otherGroup-delete                core_user__other_group__delete
core-user-otherGroup-assign                core_user__other_group__assign
core-user-otherGroup-unassign              core_user__other_group__unassign
core-status-add                            core_status__add
core-status-edit                           core_status__edit
core-status-delete                         core_status__delete
core-group-add                             core_group__add
core-group-otherGroup-edit                 core_group__other_group__edit
core-group-otherGroup-delete               core_group__other_group__delete
adminPanel_extension-editAdvanced          admin_panel_extension__edit_advanced
ki_timesheets-ownEntry-add                 ki_timesheets__own_entry__add
ki_timesheets-otherEntry-otherGroup-add    ki_timesheets__other_entry__other_group__add
ki_timesheets-ownEntry-edit                ki_timesheets__own_entry__edit
ki_timesheets-otherEntry-otherGroup-edit   ki_timesheets__other_entry__other_group__edit
ki_timesheets-ownEntry-delete              ki_timesheets__own_entry__delete
ki_timesheets-otherEntry-otherGroup-delete ki_timesheets__other_entry__other_group__delete
ki_timesheets-showRates                    ki_timesheets_show_rates
ki_timesheets-editRates                    ki_timesheets__edit_rates
ki_expenses-ownEntry-add                   ki_expenses__own_entry__add
ki_expenses-otherEntry-otherGroup-add      ki_expenses__other_entry__other_group__add
ki_expenses-ownEntry-edit                  ki_expenses__own_entry__edit
ki_expenses-otherEntry-otherGroup-edit     ki_expenses__other_entry__other_group__edit
ki_expenses-ownEntry-delete                ki_expenses__own_entry__delete
ki_expenses-otherEntry-otherGroup-delete   ki_expenses__other_entry__other_group__delete
core-customer-otherGroup-view              core_customer__other_group__view
core-project-otherGroup-view               core_project__other_group__view
core-activity-otherGroup-view              core_activity__other_group__view
core-group-otherGroup-view                 core_group__other_group__view
core-user-otherGroup-view                  core_user__other_group__view

core-customer-add                          core_customer__add
core-customer-edit                         core_customer__edit
core-customer-delete                       core_customer_delete
core-customer-assign                       core_customer_assign
core-customer-unassign                     core_customer_unassign
core-project-add                           core_project__add
core-project-edit                          core_project__edit
core-project-delete                        core_project__delete
core-project-assign                        core_project_assign
core-project-unassign                      core_project_unassign
core-activity-add                          core_activity__add
core-activity-edit                         core_activity__edit
core-activity-delete                       core_activity__delete
core-activity-assign                       core_activity_assign
core-activity-unassign                     core_activity_unassign
core-user-add                              core_user__add
core-user-edit                             core_user__edit
core-user-delete                           core_user__delete
core-user-assign                           core_user_assign
core-user-unassign                         core_user_unassign
core-user-view                             core_user_view
core-group-edit                            core_group__edit
core-group-delete                          core_group_delete
ki_timesheets-otherEntry-ownGroup-add      ki_timesheets__other_entry__own_group__add
ki_timesheets-otherEntry-ownGroup-edit     ki_timesheets__other_entry__own_group__edit
ki_timesheets-otherEntry-ownGroup-delete   ki_timesheets__other_entry__own_group__delete
ki_expenses-otherEntry-ownGroup-add        ki_expenses__other_entry__own_group__add
ki_expenses-otherEntry-ownGroup-edit       ki_expenses__other_entry__own_group__edit
ki_expenses-otherEntry-ownGroup-delete     ki_expenses__other_entry__own_group__delete

